iter	Passed	Remaining
0	627	312913
1	1251	311725
2	1824	302316
3	2398	297374
4	2591	256589
5	3227	265762
6	3890	273971
7	4557	280268
8	5229	285276
9	5885	288366
10	6497	288844
11	7112	289228
12	7719	289179
13	8395	291439
14	9041	292357
15	9687	293059
16	10338	293745
17	10970	293757
18	11587	293357
19	12235	293659
20	12850	293121
21	13452	292289
22	14080	292007
23	14348	284571
24	14969	284422
25	15248	277996
26	15917	278850
27	16613	280049
28	17276	280593
29	17953	281264
30	18614	281618
31	19290	282126
32	19931	282054
33	20572	281960
34	21263	282495
35	21499	277108
36	22181	277573
37	22884	278232
38	23513	277940
39	24203	278343
40	24846	278163
41	25485	277908
42	26158	278005
43	26884	278621
44	27528	278341
45	27661	273010
46	28307	272840
47	28963	272741
48	29603	272477
49	30253	272285
50	30898	272024
51	31103	267969
52	31769	267939
53	32389	267512
54	33063	267517
55	33695	267157
56	34346	266938
57	34946	266318
58	35609	266167
59	36225	265654
60	36851	265206
61	37484	264808
62	38098	264273
63	38735	263882
64	39357	263390
65	39995	263003
66	40664	262804
67	41298	262366
68	41942	261986
69	42561	261450
70	42846	258887
71	43467	258389
72	44106	257993
73	44743	257579
74	45414	257347
75	45702	254969
76	46357	254665
77	46510	251631
78	46737	249066
79	47374	248715
80	48040	248504
81	48686	248181
82	49360	247991
83	50036	247799
84	50160	244902
85	50815	244625
86	51492	244440
87	52182	244308
88	52835	243993
89	52946	241199
90	53607	240937
91	53782	238514
92	54444	238269
93	55150	238202
94	55809	237923
95	55917	235321
96	56575	235050
97	57248	234834
98	57876	234427
99	58504	234017
100	58894	232663
101	59041	230376
102	59694	230085
103	60414	230038
104	61066	229727
105	61699	229334
106	62351	229011
107	62509	226886
108	63147	226520
109	63445	224942
110	64114	224687
111	64733	224256
112	65454	224166
113	66116	223868
114	66267	221852
115	66952	221634
116	67142	219790
117	67555	218695
118	68196	218342
119	68898	218178
120	69516	217741
121	70158	217375
122	70810	217037
123	71023	215361
124	71655	214966
125	72026	213792
126	72649	213373
127	73263	212921
128	73942	212657
129	74589	212293
130	75215	211867
131	75872	211523
132	76588	211339
133	77254	211008
134	77895	210605
135	78176	209238
136	78812	208823
137	79490	208518
138	80150	208159
139	80811	207800
140	81421	207307
141	82067	206901
142	82829	206785
143	82982	205151
144	83389	204160
145	84101	203917
146	84760	203539
147	85411	203141
148	86096	202816
149	86316	201405
150	87006	201095
151	87669	200716
152	88291	200243
153	88584	199026
154	89224	198597
155	89912	198268
156	90339	197365
157	90997	196970
158	91154	195493
159	91811	195100
160	92481	194727
161	93141	194331
162	93761	193849
163	94396	193396
164	95071	193024
165	95696	192545
166	96329	192081
167	96981	191654
168	97644	191244
169	98295	190808
170	98900	190281
171	99579	189895
172	100234	189460
173	100901	189045
174	101560	188611
175	102189	188122
176	102808	187610
177	103190	186670
178	103831	186201
179	104465	185716
180	105130	185285
181	105803	184865
182	106458	184412
183	107099	183931
184	107521	183076
185	108158	182590
186	108823	182148
187	109141	181128
188	109819	180708
189	110508	180303
190	111223	179937
191	111902	179511
192	112076	178276
193	112840	177985
194	113613	177702
195	114296	177276
196	114475	176071
197	115145	175625
198	115350	174475
199	116074	174112
200	116217	172880
201	116941	172517
202	117100	171324
203	117768	170879
204	118497	170521
205	119215	170142
206	119890	169700
207	120584	169282
208	121272	168852
209	121929	168379
210	122602	167924
211	122770	166783
212	123422	166302
213	123591	165173
214	124256	164712
215	125000	164352
216	125698	163929
217	126352	163447
218	127010	162968
219	127648	162461
220	128304	161977
221	128973	161507
222	129654	161050
223	130295	160542
